Initializing environment: ALE/Pong-v5
Atari detected. State shape after preprocessing: (4, 84, 84)
Using device: cuda
Building networks for state shape (4, 84, 84) and 6 actions.
Using Standard Replay Buffer (deque)
Models and logs will be saved in: ./results_task2
Step: 315573, Episode: 318, Reward: -21.00, Epsilon: 0.725
Step: 316425, Episode: 319, Reward: -21.00, Epsilon: 0.724
Step: 317327, Episode: 320, Reward: -21.00, Epsilon: 0.723
Step: 318301, Episode: 321, Reward: -21.00, Epsilon: 0.723
Step: 319179, Episode: 322, Reward: -21.00, Epsilon: 0.722
Step: 320270, Episode: 323, Reward: -18.00, Epsilon: 0.721
Step: 321114, Episode: 324, Reward: -21.00, Epsilon: 0.720
Step: 322042, Episode: 325, Reward: -20.00, Epsilon: 0.719
Step: 322989, Episode: 326, Reward: -21.00, Epsilon: 0.718
Step: 324085, Episode: 327, Reward: -21.00, Epsilon: 0.717
Step: 325099, Episode: 328, Reward: -20.00, Epsilon: 0.716
Step: 326160, Episode: 329, Reward: -20.00, Epsilon: 0.715
Step: 326980, Episode: 330, Reward: -21.00, Epsilon: 0.715
Step: 327949, Episode: 331, Reward: -20.00, Epsilon: 0.714
Step: 328911, Episode: 332, Reward: -20.00, Epsilon: 0.713
Step: 329955, Episode: 333, Reward: -19.00, Epsilon: 0.712
Step: 330895, Episode: 334, Reward: -21.00, Epsilon: 0.711
Step: 331928, Episode: 335, Reward: -21.00, Epsilon: 0.710
Step: 332768, Episode: 336, Reward: -21.00, Epsilon: 0.710
Step: 333592, Episode: 337, Reward: -21.00, Epsilon: 0.709
Step: 334644, Episode: 338, Reward: -20.00, Epsilon: 0.708
Step: 335594, Episode: 339, Reward: -21.00, Epsilon: 0.707
Step: 336418, Episode: 340, Reward: -21.00, Epsilon: 0.706
Step: 337384, Episode: 341, Reward: -20.00, Epsilon: 0.705
Step: 338537, Episode: 342, Reward: -18.00, Epsilon: 0.704
Step: 339391, Episode: 343, Reward: -21.00, Epsilon: 0.704
Step: 340396, Episode: 344, Reward: -21.00, Epsilon: 0.703
Step: 341344, Episode: 345, Reward: -21.00, Epsilon: 0.702
Step: 342214, Episode: 346, Reward: -20.00, Epsilon: 0.701
