Using device: cuda
[Ep 354] R= 9.0  Steps=736914  ε=0.0500
[Ep 355] R=13.0  Steps=739559  ε=0.0500
[Train 690000] loss=0.0021
[Ep 356] R=17.0  Steps=741882  ε=0.0500
[Ep 357] R=13.0  Steps=744458  ε=0.0500
[Ep 358] R=19.0  Steps=746568  ε=0.0500
[Ep 359] R=12.0  Steps=748899  ε=0.0500
*** (avg_R=15.50) ***
*** New best model saved: LAB5_B11017015_task3_pong_748899.pt ***
[Train 700000] loss=0.0018
[Ep 360] R=18.0  Steps=750843  ε=0.0500
[Ep 361] R=13.0  Steps=753189  ε=0.0500
[Ep 362] R=10.0  Steps=755947  ε=0.0500
[Ep 363] R=14.0  Steps=758456  ε=0.0500
[Train 710000] loss=0.0009
[Ep 364] R=11.0  Steps=761104  ε=0.0500
[Ep 365] R=17.0  Steps=763277  ε=0.0500
[Ep 366] R=19.0  Steps=765076  ε=0.0500
[Ep 367] R=16.0  Steps=767183  ε=0.0500
[Ep 368] R=13.0  Steps=769646  ε=0.0500
[Train 720000] loss=0.0035
[Ep 369] R=12.0  Steps=772080  ε=0.0500
[Ep 370] R=13.0  Steps=774384  ε=0.0500
[Ep 371] R=11.0  Steps=776979  ε=0.0500
[Ep 372] R=12.0  Steps=779729  ε=0.0500
[Train 730000] loss=0.0072
[Ep 373] R= 9.0  Steps=782550  ε=0.0500
[Ep 374] R= 5.0  Steps=786099  ε=0.0500
[Ep 375] R=17.0  Steps=788132  ε=0.0500
[Train 740000] loss=0.0017
[Ep 376] R=12.0  Steps=790568  ε=0.0500
[Ep 377] R=12.0  Steps=793023  ε=0.0500
[Ep 378] R=-1.0  Steps=796451  ε=0.0500
[Ep 379] R=13.0  Steps=798844  ε=0.0500
*** (avg_R=16.70) ***
*** New best model saved: LAB5_B11017015_task3_pong_798844.pt ***
[Train 750000] loss=0.0064
[Ep 380] R= 7.0  Steps=801782  ε=0.0500
*** model saved: LAB5_B11017015_task3_pong800000.pt ***
[Ep 381] R=15.0  Steps=804012  ε=0.0500
[Ep 382] R=16.0  Steps=806166  ε=0.0500
[Ep 383] R=12.0  Steps=808748  ε=0.0500
[Train 760000] loss=0.0012
[Ep 384] R=12.0  Steps=811462  ε=0.0500
[Ep 385] R=16.0  Steps=813536  ε=0.0500
[Ep 386] R=10.0  Steps=816169  ε=0.0500
[Ep 387] R= 9.0  Steps=818655  ε=0.0500
[Train 770000] loss=0.0021
[Ep 388] R= 9.0  Steps=821640  ε=0.0500
[Ep 389] R= 8.0  Steps=824799  ε=0.0500
[Ep 390] R=16.0  Steps=827136  ε=0.0500
