Using device: cuda
[Ep 243] R=-2.0  Steps=398913  ε=0.1361
[Train 350000] loss=0.0018
[Ep 244] R=-10.0  Steps=401860  ε=0.1341
*** model saved: LAB5_B11017015_task3_pong400000.pt ***
[Ep 245] R=-8.0  Steps=405122  ε=0.1319
[Ep 246] R=-4.0  Steps=409763  ε=0.1289
[Train 360000] loss=0.0045
[Ep 247] R=-10.0  Steps=412896  ε=0.1269
[Ep 248] R=-13.0  Steps=416230  ε=0.1248
[Ep 249] R=-12.0  Steps=419761  ε=0.1226
[Train 370000] loss=0.0049
[Ep 250] R=-9.0  Steps=424070  ε=0.1200
[Ep 251] R=-2.0  Steps=428984  ε=0.1171
[Train 380000] loss=0.0027
[Ep 252] R=-12.0  Steps=432225  ε=0.1152
[Ep 253] R=-8.0  Steps=435982  ε=0.1131
[Ep 254] R=-8.0  Steps=439910  ε=0.1109
[Train 390000] loss=0.0028
[Ep 255] R=-2.0  Steps=444113  ε=0.1085
[Ep 256] R=-8.0  Steps=448259  ε=0.1063
[Train 400000] loss=0.0028
[Ep 257] R=-12.0  Steps=450699  ε=0.1050
[Ep 258] R=-6.0  Steps=454750  ε=0.1029
[Ep 259] R=-5.0  Steps=458379  ε=0.1011
*** (avg_R=-2.85) ***
*** New best model saved: LAB5_B11017015_task3_pong_458379.pt ***
[Train 410000] loss=0.0023
[Ep 260] R=-6.0  Steps=461823  ε=0.0993
[Ep 261] R=-9.0  Steps=465286  ε=0.0976
[Ep 262] R=-5.0  Steps=469349  ε=0.0957
[Train 420000] loss=0.0062
[Ep 263] R=-8.0  Steps=473294  ε=0.0938
[Ep 264] R=-6.0  Steps=477286  ε=0.0920
[Train 430000] loss=0.0021
[Ep 265] R=-5.0  Steps=481147  ε=0.0902
[Ep 266] R= 2.0  Steps=485632  ε=0.0882
[Ep 267] R=-6.0  Steps=488753  ε=0.0868
[Train 440000] loss=0.0046
[Ep 268] R=-2.0  Steps=492987  ε=0.0850
[Ep 269] R=-3.0  Steps=496699  ε=0.0835
[Train 450000] loss=0.0063
[Ep 270] R=-2.0  Steps=500840  ε=0.0817
[Ep 271] R=-4.0  Steps=504648  ε=0.0802
[Ep 272] R=-4.0  Steps=508941  ε=0.0785
[Train 460000] loss=0.0031
[Ep 273] R=-7.0  Steps=513020  ε=0.0769
[Ep 274] R=-11.0  Steps=516373  ε=0.0756
[Train 470000] loss=0.0055
[Ep 275] R=-6.0  Steps=520543  ε=0.0741
[Ep 276] R= 3.0  Steps=525175  ε=0.0724
[Ep 277] R= 1.0  Steps=529581  ε=0.0708
[Train 480000] loss=0.0136
[Ep 278] R=-5.0  Steps=533713  ε=0.0694
[Ep 279] R=-4.0  Steps=537786  ε=0.0680
*** (avg_R=1.85) ***
*** New best model saved: LAB5_B11017015_task3_pong_537786.pt ***
[Train 490000] loss=0.0051
[Ep 280] R= 8.0  Steps=541556  ε=0.0667
[Ep 281] R= 3.0  Steps=546052  ε=0.0652
[Ep 282] R=-11.0  Steps=549362  ε=0.0641
[Train 500000] loss=0.0056
[Ep 283] R=-4.0  Steps=553144  ε=0.0629
[Ep 284] R= 4.0  Steps=557380  ε=0.0616
[Train 510000] loss=0.0027
[Ep 285] R=-11.0  Steps=560476  ε=0.0607
[Ep 286] R=-2.0  Steps=565216  ε=0.0592
[Ep 287] R= 9.0  Steps=569212  ε=0.0581
[Train 520000] loss=0.0040
[Ep 288] R=-10.0  Steps=572866  ε=0.0570
[Ep 289] R=-1.0  Steps=577124  ε=0.0558
[Train 530000] loss=0.0009
[Ep 290] R=-1.0  Steps=582044  ε=0.0545
[Ep 291] R= 2.0  Steps=586242  ε=0.0533
[Train 540000] loss=0.0052
[Ep 292] R=-5.0  Steps=590263  ε=0.0523
[Ep 293] R=-1.0  Steps=594653  ε=0.0511
[Ep 294] R=-1.0  Steps=599285  ε=0.0500
[Train 550000] loss=0.0048
[Ep 295] R=-4.0  Steps=603098  ε=0.0490
*** model saved: LAB5_B11017015_task3_pong600000.pt ***
[Ep 296] R=-4.0  Steps=607615  ε=0.0479
[Train 560000] loss=0.0042
[Ep 297] R=-1.0  Steps=611691  ε=0.0470
[Ep 298] R=-7.0  Steps=615178  ε=0.0461
[Ep 299] R=-2.0  Steps=619271  ε=0.0452
*** (avg_R=3.05) ***
*** New best model saved: LAB5_B11017015_task3_pong_619271.pt ***
[Train 570000] loss=0.0037
[Ep 300] R=-3.0  Steps=623431  ε=0.0443
[Ep 301] R= 4.0  Steps=628135  ε=0.0433
[Train 580000] loss=0.0014
[Ep 302] R= 5.0  Steps=632157  ε=0.0424
[Ep 303] R= 4.0  Steps=636061  ε=0.0416
[Ep 304] R= 9.0  Steps=639497  ε=0.0409
[Train 590000] loss=0.0017
[Ep 305] R=-4.0  Steps=643898  ε=0.0400
[Ep 306] R=13.0  Steps=646651  ε=0.0394
[Train 600000] loss=0.0092
